id,question
66,What type of cuisine does the Keto Thai Red Curry Paste belong to?
67,What are some keto-friendly vegan desserts I can make?
67,How many grams of protein are in a vegan keto shortbread pie crust?
67,Can you tell me the total fat content in a vegan keto shortbread pie crust recipe?
67,What is the carbohydrate content in the vegan keto shortbread pie crust recipe?
67,Is the vegan keto shortbread pie crust recipe suitable for an American cuisine-themed dinner?
68,What is the amount of protein content in the Keto Pepper Steak recipe?
68,How many carbohydrates are in the Keto Pepper Steak?
68,Can you tell me the total fat content in the Keto Pepper Steak?
68,Is the Keto Pepper Steak suitable for a ketogenic diet given its carbohydrate content?
68,What type of cuisine does the Keto Pepper Steak belong to?
69,How many grams of carbohydrates are in the Keto Slow Cooker Brisket Chili Recipe?
69,Can you tell me the protein content in the Keto Slow Cooker Brisket Chili Recipe?
69,What is the fat content in the Keto Slow Cooker Brisket Chili Recipe?
69,What cuisine type does the Keto Slow Cooker Brisket Chili Recipe belong to?
69,Is the Keto Slow Cooker Brisket Chili Recipe suitable for someone following a keto diet?
70,What is the carbohydrate content in the Keto Pork Chops al Pastor - Low Carb recipe?
70,Could you tell me the amount of protein in the Keto Pork Chops al Pastor - Low Carb?
70,How much fat does the Keto Pork Chops al Pastor - Low Carb recipe contain?
70,Is the Keto Pork Chops al Pastor - Low Carb recipe suitable for a ketogenic diet?
70,What type of cuisine is the Keto Pork Chops al Pastor - Low Carb from?
71,How many grams of protein are in the Keto Cheesy Beef Taco Skillet with Cauliflower?
71,What type of cuisine is the Keto Cheesy Beef Taco Skillet with Cauliflower classified as?
71,Can you tell me the carbohydrate content of the Keto Cheesy Beef Taco Skillet with Cauliflower?
71,What is the amount of fat present in the Keto Cheesy Beef Taco Skillet with Cauliflower?
71,Is the Keto Cheesy Beef Taco Skillet with Cauliflower suitable for a keto diet?
72,"What are the main ingredients used in the Gluten Free, Keto Friendly, Low Carb, Pie crust recipe?"
72,How many grams of carbohydrates are in the Keto Friendly Pie crust?
72,Is the British cuisine style Pie crust suitable for a keto diet?
72,What is the protein content of the Low Carb Pie crust?
72,Can you tell me about the fat content in the Keto Friendly Pie crust?
73,How many grams of protein are in the EZ Keto Pizza recipe?
73,What is the carbohydrate content for the EZ Keto Pizza in grams?
73,Can you tell me the total fat content for the EZ Keto Pizza?
73,Is the EZ Keto Pizza suitable for a keto diet?
73,What type of cuisine does the EZ Keto Pizza belong to?
74,What is the total amount of protein in the Air Fryer Keto Fried Chicken recipe?
74,Is the Air Fryer Keto Fried Chicken recipe suitable for a gluten-free diet?
74,Does the Air Fryer Keto Fried Chicken recipe fall under the American cuisine category?
74,How many grams of carbohydrates are present in the Air Fryer Keto Fried Chicken meal?
74,Can the Air Fryer Keto Fried Chicken recipe be classified as paleo?
75,Can you tell me how many grams of protein are present in the KETO Mexican Melty Chicken Queso Casserole?
75,What is the total carbohydrate content in the KETO Mexican Melty Chicken Queso Casserole?
75,I'd like to know the amount of fat in the KETO Mexican Melty Chicken Queso Casserole. Can you provide that?
75,What diet type does the KETO Mexican Melty Chicken Queso Casserole belong to?
75,Could you confirm the cuisine category of the KETO Mexican Melty Chicken Queso Casserole?
76,What are the macronutrient contents of the Keto-Friendly Soft Tacos recipe?
76,Can you tell me if the Keto-Friendly Soft Tacos are suitable for a keto diet?
76,How many grams of protein does the Keto-Friendly Soft Tacos recipe contain?
76,What is the total amount of carbohydrates in the Keto-Friendly Soft Tacos?
76,Could you provide the fat content for the Keto-Friendly Soft Tacos recipe?
77,What is the primary diet type of the Easy Keto Korean Beef with Cauli Rice recipe?
77,Can you tell me how many grams of protein are in the Easy Keto Korean Beef with Cauli Rice dish?
77,Could you specify the total carbohydrate content found in the Easy Keto Korean Beef with Cauli Rice meal?
77,I would like to know the fat content in grams for the Easy Keto Korean Beef with Cauli Rice recipe.
77,What kind of cuisine does the Easy Keto Korean Beef with Cauli Rice recipe belong to?
78,How much protein is in the Mini Zucchini Avocado Burgers?
78,What is the carbohydrate content of the Mini Zucchini Avocado Burgers recipe?
78,"I am following a keto diet, is the Mini Zucchini Avocado Burgers recipe suitable for me?"
78,Could you tell me the amount of fat present in the Mini Zucchini Avocado Burgers?
78,What type of cuisine do the Mini Zucchini Avocado Burgers belong to?
79,How many grams of protein are in the Pork Tenderloin with Roasted Veggies (Keto) recipe?
79,What is the total carbohydrate content in the Pork Tenderloin with Roasted Veggies (Keto)?
79,Can you tell me how much fat is included in the British keto recipe for Pork Tenderloin with Roasted Veggies?
79,What is the type of diet associated with the Pork Tenderloin with Roasted Veggies recipe?
79,Does the Pork Tenderloin with Roasted Veggies (Keto) recipe fall under British cuisine?
80,What is the total carbohydrate content in the keto-friendly Chocolate Truffles recipe?
80,How much protein is in the French-style Chocolate Truffles?
80,Can you tell me the fat content in the Chocolate Truffles keto recipe?
80,Is the Chocolate Truffles recipe suitable for a keto diet based on its nutrition facts?
80,Could you provide details about the protein content in the French Chocolate Truffles?
81,What is the carbohydrate content in the Low Carb Keto Asiago Alfredo Brussels Sprouts recipe?
81,Could you tell me the amount of protein in the Low Carb Keto Asiago Alfredo Brussels Sprouts dish?
81,How much fat does the Low Carb Keto Asiago Alfredo Brussels Sprouts recipe contain?
81,"I want to confirm, is the Low Carb Keto Asiago Alfredo Brussels Sprouts categorized as a keto diet recipe?"
81,What is the culinary style or cuisine type of the Low Carb Keto Asiago Alfredo Brussels Sprouts?
82,What is the amount of protein in the Keto Spinach Pesto Flatbread recipe?
82,Can you tell me how many carbohydrates are present in the Keto Spinach Pesto Flatbread?
82,How much fat does the Keto Spinach Pesto Flatbread contain?
82,What type of diet is the Keto Spinach Pesto Flatbread suitable for?
82,What cuisine does the Keto Spinach Pesto Flatbread belong to?
83,What is the fat content in the Keto Mousse recipe?
83,Can you tell me how many grams of protein are in the Keto Mousse?
83,What is the carbohydrate content in the Keto Mousse?
83,Is the Keto Mousse suitable for a ketogenic diet?
83,Which cuisine does the Keto Mousse recipe belong to?
84,What is the carbohydrate content in the Orange and Five-Spice Roasted Chicken Legs recipe?
84,Can you tell me how much protein is in the Mediterranean keto recipe for chicken legs?
84,How much fat does the Orange and Five-Spice Roasted Chicken Legs contain?
84,Is the Orange and Five-Spice Roasted Chicken Legs recipe suitable for a paleo diet?
84,What are the main dietary types covered by the Orange and Five-Spice Roasted Chicken Legs recipe?
85,What is the carbohydrate content in the Creamy Keto Taco Soup with Ground Beef?
85,Can you tell me the amount of protein present in the Creamy Keto Taco Soup with Ground Beef recipe?
85,How much fat does the Creamy Keto Taco Soup with Ground Beef contain?
85,Is the Creamy Keto Taco Soup with Ground Beef suitable for a keto diet?
85,What cuisine type does the Creamy Keto Taco Soup with Ground Beef belong to?
86,What are some tips for making a keto-friendly meatloaf in a slow cooker?
86,Can you provide the nutritional breakdown for a keto barbecue meatloaf recipe?
86,Are there any specific ingredients typically included in a Central European keto meatloaf?
86,What is the general macronutrient profile of a keto meal like this meatloaf?
86,How can I modify a traditional meatloaf recipe to fit a keto diet?
87,What makes the Keto Crepes recipe suitable for a keto diet?
87,Can you tell me about the fat content in these Keto Crepes?
87,How does the protein content in this Keto Crepes recipe compare to its carbs?
87,Is this Keto Crepes recipe influenced by any specific cuisine type?
87,What is the carbohydrate content of the Keto Crepes recipe?
88,What is the main type of diet that the Beef Crust for Pizza aligns with?
88,Can you tell me the total amount of protein in the Beef Crust for Pizza recipe?
88,How many carbohydrates are present in the Beef Crust for Pizza recipe?
88,"For someone following a keto diet, what Italian recipe involving beef would you recommend?"
88,Could you provide the amount of fat content in the Beef Crust for Pizza?
89,What is the carbohydrate content in the Keto Chicken Jalapeno Poppers recipe?
89,Are the Keto Chicken Jalapeno Poppers suitable for a paleo diet?
89,How much protein does the Keto Chicken Jalapeno Poppers recipe contain?
89,Is the Keto Chicken Jalapeno Poppers recipe dairy-free?
89,What is the total fat content in the Keto Chicken Jalapeno Poppers recipe?
90,What are the main macronutrients present in Sara Louise's Keto Baked Cauliflower Florets recipe?
90,How suitable is Sara Louise's Keto Baked Cauliflower Florets for a Mediterranean diet?
90,What is the total amount of protein in Sara Louise's Keto Baked Cauliflower Florets recipe?
90,How many carbs does Sara Louise's Keto Baked Cauliflower Florets contain?
90,Is Sara Louise's Keto Baked Cauliflower Florets high in fat according to the keto diet requirements?
91,What is the total protein content in the Keto Creamy Cheddar Bacon Chicken recipe?
91,Can you tell me the total carbohydrate content of the Keto Creamy Cheddar Bacon Chicken dish?
91,I would like to know the total fat content in the Keto Creamy Cheddar Bacon Chicken.
91,Is the Keto Creamy Cheddar Bacon Chicken suitable for a keto diet?
91,Which cuisine does the Keto Creamy Cheddar Bacon Chicken belong to?
92,What is the total carbohydrate content in the Keto Rosemary Dill Salmon recipe?
92,How much protein does the Keto Rosemary Dill Salmon recipe contain?
92,Is the Keto Rosemary Dill Salmon suitable for a keto diet?
92,What type of cuisine does the Keto Rosemary Dill Salmon recipe belong to?
92,How much fat is in the Keto Rosemary Dill Salmon recipe?
93,What are the macronutrient ratios for the keto ice cream recipe considering its high fat content?
93,"Considering it's a keto recipe, how do the carbs in the ice cream compare to a standard diet dessert?"
93,How can I ensure that the protein content in the keto ice cream helps me meet my daily intake requirement?
93,Are there any specific ingredients in this keto ice cream recipe that account for its high fat content?
93,"Is the keto ice cream suitable for someone trying to maintain ketosis, and what should I be mindful of due to its carb content?"
94,What is the total amount of protein in the Mediterranean Chicken recipe?
94,How many grams of carbohydrates are in the Mediterranean Chicken dish?
94,Can you tell me the fat content of the Mediterranean Chicken recipe?
94,What type of cuisine is the Mediterranean Chicken recipe classified under?
94,Does the Mediterranean Chicken recipe fit into a Mediterranean diet plan?
95,What is the total amount of protein in the Mediterranean Chicken Couscous recipe?
95,How many grams of carbohydrates are present in the Mediterranean Chicken Couscous?
95,Can you tell me the total fat content in the Mediterranean Chicken Couscous dish?
95,Is the Mediterranean Chicken Couscous recipe suitable for a Mediterranean diet plan?
95,Could you provide the cuisine type of the Mediterranean Chicken Couscous recipe?
96,What are the main ingredients needed for the Red Snapper with Tomatoes and Olives Baked in Foil Recipe?
96,How many grams of protein does the Red Snapper with Tomatoes and Olives Baked in Foil Recipe contain?
96,Can you give me the total carbohydrate content in the Red Snapper with Tomatoes and Olives Baked in Foil Recipe?
96,What type of diet does the Red Snapper with Tomatoes and Olives Baked in Foil Recipe fall under?
96,Is the Red Snapper with Tomatoes and Olives Baked in Foil Recipe considered an American cuisine?
97,What is the protein content of the Mediterranean Pan Roasted Salmon recipe?
97,How many grams of carbohydrates are in the Mediterranean Pan Roasted Salmon dish?
97,Can you tell me the amount of fat in the Mediterranean Pan Roasted Salmon recipe?
97,What type of diet is the Mediterranean Pan Roasted Salmon recipe suitable for?
97,Under which cuisine type is the Mediterranean Pan Roasted Salmon categorized?
98,What are some alternative ways to lower the carbohydrate content in the Mediterranean mac and cheese recipe?
98,How does the fat content in the Mediterranean mac and cheese compare to traditional American mac and cheese recipes?
98,Can you suggest ingredients to increase the protein content in the Mediterranean mac and cheese?
98,What makes this Mediterranean mac and cheese recipe suitable for a Mediterranean diet?
98,Are there any modifications to the Mediterranean mac and cheese that can make it more suitable for a low-fat diet?
99,How many grams of protein are in the Greek lamb & macaroni bake?
99,What is the total carbohydrate content in the Greek lamb & macaroni bake?
99,Can you tell me the total fat content of the Greek lamb & macaroni bake?
99,What type of cuisine does the Greek lamb & macaroni bake belong to?
99,Under which diet category can the Greek lamb & macaroni bake be classified?
100,What is the protein content in the Mediterranean Orzo Pilaf recipe?
100,Can you tell me the total carbohydrate content of the Mediterranean Orzo Pilaf?
100,How much fat does the Mediterranean Orzo Pilaf contain?
100,What type of diet does the Mediterranean Orzo Pilaf fit into?
100,Could you confirm the type of cuisine the Mediterranean Orzo Pilaf is associated with?
101,"What is the protein content in the Hummus Pizza, Mediterranean Style recipe?"
101,Can you tell me how many carbohydrates are present in the Mediterranean style Hummus Pizza?
101,"I'd like to know the amount of fat in the Hummus Pizza, Mediterranean Style. Can you provide that information?"
101,"Is the Hummus Pizza, Mediterranean Style considered an Italian cuisine?"
101,What diet type does the Mediterranean-style Hummus Pizza follow?
102,"Can you tell me how much protein is in the Mediterranean recipe for Stuffed Peppers, Tomatoes, and Mushrooms?"
102,"What is the total amount of carbohydrates in the Italian dish Stuffed Peppers, Tomatoes, and Mushrooms from the Mediterranean diet?"
102,"How much fat is present in the Stuffed Peppers, Tomatoes, and Mushrooms recipe belonging to the Mediterranean diet?"
102,"What is the cuisine type of the Stuffed Peppers, Tomatoes, and Mushrooms recipe from your Mediterranean diet options?"
102,"Could you provide the protein content for the Stuffed Peppers, Tomatoes, and Mushrooms dish from the Italian cuisine category?"
103,What type of diet does the Mediterranean Grilled Vegetable Soup recipe cater to?
103,Can you tell me how many grams of protein are in the Mediterranean Grilled Vegetable Soup?
103,I need to know the carbohydrate content of the Mediterranean Grilled Vegetable Soup. Could you provide that?
103,What is the fat content in the Mediterranean Grilled Vegetable Soup recipe?
103,Could you confirm which cuisine the Mediterranean Grilled Vegetable Soup recipe belongs to?
104,What is the protein content in the Mediterranean Chicken recipe?
104,How many grams of carbohydrates are there in the Mediterranean Chicken?
104,Could you tell me the amount of fat in the Mediterranean Chicken recipe?
104,What type of cuisine does the Mediterranean Chicken recipe belong to?
104,Is the Mediterranean Chicken recipe suitable for a Mediterranean diet?
105,What is the dietary style of the Mediterranean-style Grilled Sardines recipe?
105,How much protein is present in the Mediterranean-style Grilled Sardines?
105,Can you tell me the carbohydrate content of the Mediterranean-style Grilled Sardines?
105,What is the total fat content in the Mediterranean-style Grilled Sardines recipe?
105,Which cuisine does the Mediterranean-style Grilled Sardines recipe belong to?
106,What is the protein content in the Baked Hummus recipe?
106,Can you tell me the carbohydrate amount in the Baked Hummus?
106,How much fat does the Mediterranean Baked Hummus contain?
106,Is the Baked Hummus suitable for a Mediterranean diet?
106,Can you provide the nutritional breakdown for the Baked Hummus recipe?
107,What is the protein content of the Mediterranean Tuna Salad?
107,How many carbohydrates are in the Mediterranean Tuna Salad?
107,Could you tell me the amount of fat in the Mediterranean Tuna Salad?
107,What type of diet does the Mediterranean Tuna Salad comply with?
107,What is the cuisine type of the Mediterranean Tuna Salad?
108,What is the protein content in the Greek Grilled Salmon Kebabs with Tzatziki & Green Beans recipe?
108,Could you tell me how many carbohydrates are in the Mediterranean dish featuring salmon kebabs?
108,How much fat is included in the Greek Grilled Salmon Kebabs with Tzatziki & Green Beans meal?
108,"What is the overall nutritional breakdown, including protein, carbs, and fat, in the Greek Grilled Salmon Kebabs?"
108,Can you confirm if the Greek Grilled Salmon Kebabs are classified under the Mediterranean diet?
109,What are the main nutritional components I should be aware of in a Greek Salad?
109,Can you break down the macronutrient content of this Mediterranean Greek Salad recipe?
109,I'm interested in the Greek Salad recipe; how many carbs does it contain?
109,How much protein is in the Greek Salad according to the recipe details?
109,What is the fat content of the Greek Salad in this Mediterranean diet recipe?
110,What is the main source of protein in the Herb Braised Chicken with Mushrooms and Tomatoes recipe?
110,Could you tell me the carbohydrate content of the Herb Braised Chicken with Mushrooms and Tomatoes from the Mediterranean diet?
110,I am following a Mediterranean diet; does the Herb Braised Chicken with Mushrooms and Tomatoes recipe fit into this dietary plan?
110,What type of cuisine is the Herb Braised Chicken with Mushrooms and Tomatoes recipe considered?
110,How much fat is contained in the Herb Braised Chicken with Mushrooms and Tomatoes dish?
111,What is the protein content in the Italian Sausage & Vegetable Stew recipe?
111,How many grams of carbohydrates are in the Italian Sausage & Vegetable Stew dish?
111,Can you tell me the fat content for the Italian Sausage & Vegetable Stew?
111,Which diet type does the Italian Sausage & Vegetable Stew recipe fit into?
111,What cuisine does the Italian Sausage & Vegetable Stew recipe belong to?
112,How can I incorporate more protein into the Spiced Silverbeet and Pumpkin Hash recipe?
112,"Is the fat content high in the Spiced Silverbeet and Pumpkin Hash recipe, and is it healthy fat?"
112,What makes the Spiced Silverbeet and Pumpkin Hash recipe suitable for a Mediterranean diet?
112,"How many carbohydrates are in the Spiced Silverbeet and Pumpkin Hash, and is it a good option for someone monitoring their carb intake?"
112,"Can the Spiced Silverbeet and Pumpkin Hash be modified for a different cuisine, and if so, how?"
113,"What are the nutritional values of the Mediterranean Salad in terms of protein, carbohydrates, and fat?"
113,Is the Mediterranean Salad suitable for someone following a Mediterranean diet?
113,How much protein is present in the Mediterranean Salad recipe?
113,Could you tell me the total amount of carbohydrates in the Mediterranean Salad?
113,What is the fat content in the Mediterranean Salad recipe?
114,What is the fat content in the Mediterranean diet recipe 'Chicken with Cherry Tomato and Olive Topping'?
114,How much protein does the 'Chicken with Cherry Tomato and Olive Topping' recipe contain?
114,What type of cuisine is associated with the 'Chicken with Cherry Tomato and Olive Topping' recipe?
114,Could you tell me the carbohydrate content of the 'Chicken with Cherry Tomato and Olive Topping' dish?
114,What is the diet type of the recipe named 'Chicken with Cherry Tomato and Olive Topping'?
115,What are the macronutrient breakdowns for the Mediterranean Herbed Pork Roast recipe?
115,Does the Mediterranean Herbed Pork Roast recipe fit within a high-protein diet plan?
115,Can you tell me how many grams of carbohydrates are in the Mediterranean Herbed Pork Roast?
115,Is the Mediterranean Herbed Pork Roast considered a high-fat dish?
115,What type of cuisine does the Mediterranean Herbed Pork Roast belong to?
116,What type of diet does the Irish Pizza recipe fit into?
116,Can you tell me how much protein is in the Irish Pizza?
116,What is the total carbohydrate content of the Irish Pizza?
116,How much fat does the Irish Pizza contain?
116,Under which cuisine is the Irish Pizza recipe categorized?
117,What is the primary source of protein in the Mediterranean Vegan Bowl?
117,Can you provide a breakdown of the macronutrient content in the Mediterranean Vegan Bowl?
117,How does the Mediterranean Vegan Bowl fit into a Mediterranean diet?
117,Is the Mediterranean Vegan Bowl considered a high-carb meal?
117,Does the Mediterranean Vegan Bowl contain healthy fats often found in a Mediterranean diet?
118,What are the main protein sources in the Mediterranean Chicken Recipe?
118,Can you tell me the total carbohydrate content in the Mediterranean Chicken Recipe?
118,How much fat is present in the Mediterranean Chicken Recipe?
118,What type of cuisine does the Mediterranean Chicken Recipe belong to?
118,What kind of diet is the Mediterranean Chicken Recipe suitable for?
119,What are some ways to enjoy Spicy Shrimp Tortillitas with Mango Mayonnaise in a balanced Mediterranean diet?
119,How much protein is contained in the Spicy Shrimp Tortillitas with Mango Mayonnaise recipe?
119,Can you provide insight into the carb content of the Spicy Shrimp Tortillitas with Mango Mayonnaise?
119,What is the total amount of fat in the Spicy Shrimp Tortillitas with Mango Mayonnaise dish?
119,Could you tell me about the key Mediterranean influences on Spicy Shrimp Tortillitas with Mango Mayonnaise?
120,What are the macronutrient contents of the Mediterranean Meatballs recipe?
120,"In the Mediterranean Meatballs recipe, how many grams of protein does it contain?"
120,How many grams of carbohydrates does the Mediterranean Meatballs recipe have?
120,Can you tell me the fat content in the Mediterranean Meatballs from the Mediterranean diet?
120,What is the cuisine type of the Mediterranean Meatballs recipe?
121,What are some Mediterranean diet recipes that are rich in protein?
121,Can you provide a recipe for Mediterranean cuisine that includes meatballs?
121,How many grams of carbohydrates are found in the Greek Meatball Mezze Bowls?
121,Does the Greek Meatball Mezze Bowls recipe include a high amount of fat?
121,What is the protein content of the Greek Meatball Mezze Bowls recipe?
122,"What are the main ingredients used in the Provence on a Plate - Roasted Eggplant, Tomato and Tapenade Pizza with Goat Cheese recipe?"
122,Can you tell me how much protein is in the Provence on a Plate recipe from the Mediterranean diet section?
122,I am following an Italian cuisine meal plan; does the Provence on a Plate pizza fit this type?
122,How many grams of fat does the Mediterranean diet pizza with roasted eggplant and goat cheese have?
122,"Is the Provence on a Plate pizza suitable for someone monitoring their carbohydrate intake, and if so, what is the carb content?"
123,What type of diet is the Lamb Chops with Asparagus and Farro recipe suitable for?
123,Can you tell me the cuisine type of the Lamb Chops with Asparagus and Farro dish?
123,What is the total protein content in the Lamb Chops with Asparagus and Farro recipe?
123,Could you provide the carbohydrate content in the Lamb Chops with Asparagus and Farro dish?
123,How much fat does the Lamb Chops with Asparagus and Farro recipe have?
124,What are the key ingredients in the Mediterranean Rice Salad with Roasted Red Peppers?
124,How many grams of carbohydrates are in the Mediterranean Rice Salad with Roasted Red Peppers?
124,Can you tell me about the nutritional profile of the Mediterranean Rice Salad with Roasted Red Peppers in terms of protein content?
124,Is the fat content high in the Mediterranean Rice Salad with Roasted Red Peppers?
124,Could you provide a brief description of the flavor and texture of the Mediterranean Rice Salad with Roasted Red Peppers?
125,What is the primary source of protein in the Mediterranean lamb pizza recipe?
125,Can you provide the carbohydrate content for the Mediterranean lamb pizza?
125,What are the key ingredients that contribute to the fat content in the Mediterranean lamb pizza?
125,Is the Mediterranean lamb pizza suitable for a Mediterranean diet?
125,Could you tell me the cuisine type for the Mediterranean lamb pizza recipe?
126,What is the protein content in the Mediterranean Eggs recipe?
126,Can you tell me how many grams of carbohydrates are present in the Mediterranean Eggs dish?
126,How much fat does the Mediterranean Eggs recipe contain?
126,Is the Mediterranean Eggs recipe considered part of the Mediterranean diet?
126,What type of cuisine does the Mediterranean Eggs dish belong to?
127,What are the main nutritional components of the Catalan cod brandada from the School of Tapas recipe?
127,Can you explain the amount of protein in the Catalan cod brandada recipe?
127,How many grams of carbohydrates are there in the Catalan cod brandada recipe?
127,What is the total fat content in the School of Tapas recipe for Catalan cod brandada?
127,Is the Catalan cod brandada recipe suitable for someone following a Mediterranean diet?
128,What is the total carbohydrate content in the Mediterranean Style Linguini recipe?
128,How much protein does the Mediterranean Style Linguini recipe contain?
128,Can you tell me the dietary fat amount present in the Mediterranean Style Linguini?
128,What type of diet does the Mediterranean Style Linguini recipe belong to?
128,Which cuisine does the Mediterranean Style Linguini recipe represent?
129,Can you tell me how much protein is in the Mediterranean Yogurt Dip recipes?
129,What is the carbohydrate content in the Mediterranean Yogurt Dip recipes?
129,How much fat does the Mediterranean Yogurt Dip recipes contain?
129,What diet type does the Mediterranean Yogurt Dip recipes belong to?
129,Could you specify the cuisine type of the Mediterranean Yogurt Dip recipes?
130,What is the protein content in the Mediterranean Jalapeño Poppers recipe?
130,How many grams of carbohydrates are in the Mediterranean Jalapeño Poppers?
130,Can you tell me the amount of fat in the Mediterranean Jalapeño Poppers recipe?
130,What diet type does the Mediterranean Jalapeño Poppers recipe belong to?
130,Could you give me the name of a Mediterranean dish that contains jalapeños?
131,What makes the 'Flaky Sriracha Cod over Parsnip Carrot Mash' suitable for a paleo diet?
131,How much protein is in the 'Flaky Sriracha Cod over Parsnip Carrot Mash' recipe?
131,Can you tell me the total carbohydrate content in the 'Flaky Sriracha Cod over Parsnip Carrot Mash'?
131,I am following a paleo diet; is 'Flaky Sriracha Cod over Parsnip Carrot Mash' a good option for me?
131,What is the fat content of the 'Flaky Sriracha Cod over Parsnip Carrot Mash'?
132,What ingredients are typically used in a Paleo Pad Thai recipe?
132,"Can you tell me about the nutritional breakdown of Paleo Pad Thai, specifically the amount of protein it contains?"
132,"How does Paleo Pad Thai align with a paleo diet, and what are the primary components?"
132,Could you provide some insight into the fat content found in Paleo Pad Thai?
132,What is the carbohydrate content in a typical serving of Paleo Pad Thai?
133,What is the diet type of the Paleo Chocolate Pistachio Biscotti recipe?
133,Can you tell me the amount of protein in the Paleo Chocolate Pistachio Biscotti?
133,How many carbs are in the Paleo Chocolate Pistachio Biscotti recipe?
133,What is the fat content in grams for the Paleo Chocolate Pistachio Biscotti?
